date,ticker,open,high,low,close,vol_btc,vol_usd,usdt_supply,google_trends,sp500
3/30/2017,BTCUSD,1043.27,1052.94,1022,1042.08,8279.23,8605658.13,54951600,,1993.400024
3/29/2017,BTCUSD,1045.4,1058.16,1005.77,1043.27,8674.7,8964891.79,54951600,,1986.449951
3/28/2017,BTCUSD,1042.08,1069.39,1016.25,1045.4,9053.57,9443463.57,54951600,,1978.349976
3/27/2017,BTCUSD,973.08,1045.9,961.1,1042.08,10224.27,10332075.31,54951600,,1932.22998
3/26/2017,BTCUSD,963.72,1005,943.9,973.08,9477.98,9263551.31,54951600,,1948.050049
3/25/2017,BTCUSD,934.87,973.99,890.05,963.72,16659.78,15482264.23,54951600,,1951.699951
3/24/2017,BTCUSD,1025.14,1030.3,920.1,934.87,18942.25,18466267.82,54951600,,1929.800049
3/23/2017,BTCUSD,1034.57,1057.41,1013,1025.14,7782.51,8051410.81,54951600,,1921.27002
3/22/2017,BTCUSD,1114.42,1114.96,985.17,1034.57,14562.11,15191422.38,54951600,,1945.5
3/21/2017,BTCUSD,1044.96,1120,1042.68,1114.42,12220.65,13315860.87,54951600,,1917.780029
3/20/2017,BTCUSD,1019.49,1051.97,1011,1044.96,8917.53,9236660.8,54951600,,1917.829956
3/19/2017,BTCUSD,970,1062.92,961.59,1019.49,13459.28,13673904.2,54951600,,1926.819946
3/18/2017,BTCUSD,1069.57,1096,919.44,970,23802.32,23864729.42,54951600,,1895.579956
3/17/2017,BTCUSD,1175.11,1175.11,1065.74,1069.57,19180.33,21525410.36,54951600,,1864.780029
3/16/2017,BTCUSD,1263,1277.27,1117.77,1175.11,16563.41,19993492.85,54951600,,1829.079956
3/15/2017,BTCUSD,1247.42,1264.55,1240,1263,7231.55,9066015.71,44951600,,1851.859985
3/14/2017,BTCUSD,1245.5,1262,1213.55,1247.42,7361.42,9181863.69,44951600,,1852.209961
3/13/2017,BTCUSD,1235.58,1249,1206,1245.5,9305.89,11510707.74,44951600,,1853.439941
3/12/2017,BTCUSD,1188.11,1244,1150,1235.58,6647.29,8046849.56,44951600,,1880.050049
3/11/2017,BTCUSD,1109.01,1219,1107,1188.11,10245.5,11991828.62,44951600,,1915.449951
3/10/2017,BTCUSD,1197.3,1360,956.85,1109.01,24876.28,29299755.83,44951600,,1912.530029
3/9/2017,BTCUSD,1150.22,1214.95,1131.11,1197.3,8439.14,9971972.26,44951600,,1903.030029
3/8/2017,BTCUSD,1237.36,1246,1128,1150.22,12878.03,15302820.79,44951600,,1939.380005
3/7/2017,BTCUSD,1284.99,1288,1050,1237.36,10495.65,12996739.91,44951600,,1940.23999
3/6/2017,BTCUSD,1278.98,1288,1268.78,1284.99,4750.05,6083879.09,44951600,,1893.359985
3/5/2017,BTCUSD,1273.97,1278.99,1247.11,1278.98,3982.89,5047437.77,44951600,,1882.949951
3/4/2017,BTCUSD,1292.86,1294.48,1226.41,1273.97,6365.75,8116484.94,44951600,,1903.630005
3/3/2017,BTCUSD,1269.17,1294.99,1255.61,1292.86,8284.43,10584869.61,34951600,,1877.079956
3/2/2017,BTCUSD,1230,1298.61,1220,1269.17,8889.98,11126835.43,34951600,,1906.900024
3/1/2017,BTCUSD,1195.08,1230,1085.71,1230,8122.55,9871907.47,34951600,,1868.98999
2/28/2017,BTCUSD,1195.81,1214.94,1179.64,1195.08,6719.3,8045113.07,34951600,,1859.329956
2/27/2017,BTCUSD,1184.91,1198.99,1176,1195.81,5745.59,6840404.48,34951600,,1881.329956
2/26/2017,BTCUSD,1158,1187.33,1130.88,1184.91,4446.08,5171217.77,34951600,,1880.329956
2/25/2017,BTCUSD,1186.91,1189.49,1110,1158,5951.95,6897879.33,34951600,,1921.839966
2/24/2017,BTCUSD,1186.9,1221.93,1103.32,1186.91,12632.88,14918263.8,34951600,,1890.280029
2/23/2017,BTCUSD,1128.71,1197,1128.22,1186.9,7536.2,8722673.05,34951600,,1938.680054
2/22/2017,BTCUSD,1128.29,1140,1104.9,1128.71,6034.25,6795717,34951600,,1923.670044
2/21/2017,BTCUSD,1089.86,1132.95,1081.95,1128.29,7483.04,8280875.39,24951600,,1922.030029
2/20/2017,BTCUSD,1059.88,1095,1051.36,1089.86,4430.97,4736133.26,24951600,,1943.089966
2/19/2017,BTCUSD,1062.15,1067.78,1051.26,1059.88,3021.63,3196757.08,24951600,,1990.26001
2/18/2017,BTCUSD,1057.3,1073.8,1055.6,1062.15,3934.58,4193929.1,24951600,,2016.709961
2/17/2017,BTCUSD,1038.94,1064.6,1036.29,1057.3,6333.71,6667247.58,24951600,,2012.660034
2/16/2017,BTCUSD,1014.53,1041.88,1013.02,1038.94,5993.8,6169767.63,24951600,,2043.939941
2/15/2017,BTCUSD,1012.23,1016,1007.66,1014.53,4421.87,4477611.54,24951600,,2063.360107
2/14/2017,BTCUSD,1002.56,1018.97,992.27,1012.23,5719.72,5765364.55,24951600,,2078.360107
2/13/2017,BTCUSD,1010,1021.5,985.68,1002.56,4669.88,4682457.91,24951600,,2056.5
2/12/2017,BTCUSD,1018.43,1019.1,1008,1010,1314.42,1331571.04,24951600,,2060.98999
2/11/2017,BTCUSD,1003.97,1023.89,995.49,1018.43,4377.32,4428942.37,24951600,,2064.290039
2/10/2017,BTCUSD,985,1008,961,1003.97,7992.25,7864512.76,24951600,,2038.969971
2/9/2017,BTCUSD,1059.14,1079,925,985,16261.21,16232978.41,24951600,,2021.150024
2/8/2017,BTCUSD,1053.97,1069.95,1016.49,1059.14,6899.97,7253357.3,24951600,,2005.550049
2/7/2017,BTCUSD,1024.39,1058.26,1020.82,1053.97,5566.34,5810502.77,24951600,,2041.890015
2/6/2017,BTCUSD,1019.31,1027.7,1014.64,1024.39,4227.33,4321741.37,24951600,,2073.070068
2/5/2017,BTCUSD,1035.84,1036.3,1003.02,1019.31,4675.46,4765461.2,24951600,,2043.410034
2/4/2017,BTCUSD,1016.77,1044.12,1001.8,1035.84,4823.76,4931183.65,24951600,,2021.939941
2/3/2017,BTCUSD,1007.66,1024.5,994.34,1016.77,6731.61,6815466.36,24951600,,2012.369995
2/2/2017,BTCUSD,989.71,1010,978.74,1007.66,5623.69,5602317.03,24951600,,2052.22998
2/1/2017,BTCUSD,970.92,991.38,963.84,989.71,5983.96,5835316.7,24951600,,2047.619995
1/31/2017,BTCUSD,923.45,971.24,922.83,970.92,6624.94,6298153.61,24951600,,2063.590088
1/30/2017,BTCUSD,917.31,923.95,914.69,923.45,3678.36,3385238.81,24951600,,2077.070068
1/29/2017,BTCUSD,924.7,927.47,915,917.31,2498.61,2303176.25,24951600,,2091.689941
1/28/2017,BTCUSD,923.4,925.5,921.5,924.7,2666.66,2463831.89,24951600,,2049.620117
1/27/2017,BTCUSD,917.93,924.47,911,923.4,3705.4,3408119.32,24951600,,2079.51001
1/26/2017,BTCUSD,896.81,921.95,896,917.93,4673.88,4254267.65,24951600,,2102.629883
1/25/2017,BTCUSD,894.86,903.98,880,896.81,4570.62,4091652.34,24951600,,2080.409912
1/24/2017,BTCUSD,924.24,924.24,888.2,894.86,6319.11,5729993.63,24951600,,2090.110107
1/23/2017,BTCUSD,924.98,931.33,915.31,924.24,3908.89,3608644.31,24951600,,2088.870117
1/22/2017,BTCUSD,925.36,946.25,902,924.98,4915.78,4556299.91,24951600,,2089.139893
1/21/2017,BTCUSD,894.05,930,891.28,925.36,4545.67,4173035.76,24951600,,2086.590088
1/20/2017,BTCUSD,901,904.59,890,894.05,3073.67,2761266.77,24951600,,2089.169922
1/19/2017,BTCUSD,880,907,879.2,901,5127.03,4602695.23,24951600,,2081.23999
1/18/2017,BTCUSD,907.58,916.7,850,880,6654.7,5878776.11,24951600,,2083.580078
1/17/2017,BTCUSD,831.89,909,830.02,907.58,7258.23,6401902.01,14951600,,2050.439941
1/16/2017,BTCUSD,830,840,826.03,831.89,3404.59,2840684.77,14951600,,2053.189941
1/15/2017,BTCUSD,829.62,832.95,819,830,2806.12,2318657.22,14951600,,2023.040039
1/14/2017,BTCUSD,830.79,847.52,822.34,829.62,4693.73,3914671.89,14951600,,2045.969971
1/13/2017,BTCUSD,822.64,835.01,782.85,830.79,10564.13,8585304.65,14951600,,2075
1/12/2017,BTCUSD,801.5,840,734.64,822.64,13216.41,10452842.94,14951600,,2081.719971
1/11/2017,BTCUSD,907.53,923.98,765,801.5,19216.16,15981885.83,14951600,,2078.580078
1/10/2017,BTCUSD,905.41,915.1,899.01,907.53,7012.14,6354374.73,14951600,,2099.199951
1/9/2017,BTCUSD,916.6,923.58,886.42,905.41,5960.04,5361215.98,14951600,,2099.929932
1/8/2017,BTCUSD,903.7,953.8,899.16,916.6,5389.5,4975845.72,14951600,,2102.310059
1/7/2017,BTCUSD,894.93,910,815.36,903.7,10653.91,9275168.47,14951600,,2109.790039
1/6/2017,BTCUSD,995.05,1033.85,875.01,894.93,14144.34,13093482.53,14951600,,2104.050049
1/5/2017,BTCUSD,1133,1175,880,995.05,20433.13,21144212.3,14951600,,2079.360107
1/4/2017,BTCUSD,1035.19,1147,1018,1133,16438.41,17860477.54,14951600,,2089.409912
1/3/2017,BTCUSD,1019.01,1036.69,1006.71,1035.19,7970.31,8132385.54,14951600,,2090.350098
1/2/2017,BTCUSD,996.82,1034.39,986.86,1019.01,7657.44,7747191.18,14951600,,2065.889893
1/1/2017,BTCUSD,970.47,1000,964.37,996.82,4380.47,4316334.81,14951600,,2071.179932
12/31/2016,BTCUSD,962.63,971.53,949,970.47,3880.36,3726585.44,14951600,,2075.149902
12/30/2016,BTCUSD,976.75,978.77,930.3,962.63,8055.58,7702979.43,14951600,,2052.51001
12/29/2016,BTCUSD,981.92,988.88,950.5,976.75,8959.68,8712140.87,14951600,,2018.939941
12/28/2016,BTCUSD,921.59,981.92,921.58,981.92,9644.81,9189366.89,14951600,,2030.77002
12/27/2016,BTCUSD,901.98,943.36,895,921.59,6605.24,6094439.4,14951600,,2033.660034
12/26/2016,BTCUSD,896.73,908.24,890,901.98,3337.4,3003307.27,14951600,,2033.109985
12/25/2016,BTCUSD,887,897.09,851.11,896.73,5217.17,4546899,14951600,,2023.859985
